Flavor,Version,Date,URL
original,1,28-11-2012,https://data.inra.fr/api/access/datafile/86731?gbrecs=true
original,2,16-09-2014,https://data.inra.fr/api/access/datafile/86732?gbrecs=true
original,3,13-02-2015,https://data.inra.fr/api/access/datafile/86733?gbrecs=true
original,4,16-09-2015,https://data.inra.fr/api/access/datafile/86734?gbrecs=true
original,5,18-02-2016,https://data.inra.fr/api/access/datafile/86735?gbrecs=true
original,6,20-03-2017,https://data.inra.fr/api/access/datafile/86736?gbrecs=true
original,7,23-02-2018,https://data.inra.fr/api/access/datafile/77781?gbrecs=true
original,7.1,12-02-2019,https://data.inra.fr/api/access/datafile/83042?gbrecs=true
rbcl312_dada2_tax,7,23-02-2018,https://data.inra.fr/api/access/datafile/83898?gbrecs=true
rbcl312_dada2_spe,7,23-02-2018,https://data.inra.fr/api/access/datafile/83899?gbrecs=true
